Canonical Pathways	Late	Early
NF-KB Signaling	-0.816	0
Pathogen Induced Cytokine Storm Signaling Pathway	0.775	0.447
ISGylation Signaling Pathway	1.414	0.447
Cachexia Signaling Pathway	1.604	0.447
Systemic Lupus Erythematosus in B Cell Signaling Pathway	0.243	1.342
Role of PKR in Interferon Induction and Antiviral Response	1.265	2
Stress Granule Signaling Pathway	2.121	2
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.121	2
OAS antiviral response	2.236	2
Interferon gamma signaling	2.714	2
ISG15 antiviral mechanism	1.89	2.236
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	3	2.236
Interferon alpha/beta signaling	4.146	3.162
FAK Signaling	-2.5	
IL-33 Signaling Pathway	-2.449	
IL-8 Signaling	-2.333	
IGF-1 Signaling	-2.236	
Chronic Myeloid Leukemia Signaling	-2.236	
Colorectal Cancer Metastasis Signaling	-2.121	
Molecular Mechanisms of Cancer	-2.065	
cAMP-mediated signaling	-2	
Pulmonary Fibrosis Idiopathic Signaling Pathway	-2	
Ephrin Receptor Signaling	-2	
Relaxin Signaling	-2	
Protein Kinase A Signaling	-2	
HGF Signaling	-2	
Small Cell Lung Cancer Signaling	-2	
Extra-nuclear estrogen signaling	-2	
Opioid Signaling Pathway	-2	
Cardiac Hypertrophy Signaling (Enhanced)	-1.897	
Coronavirus Pathogenesis Pathway	-1.897	
B Cell Receptor Signaling	-1.89	
G-Protein Coupled Receptor Signaling	-1.732	
Role of JAK family kinases in IL-6-type Cytokine Signaling	-1.633	
MSP-RON Signaling in Cancer Cells Pathway	-1.633	
Role of Tissue Factor in Cancer	-1.633	
ILK Signaling	-1.633	
Activin Inhibin Signaling Pathway	-1.414	
ERK/MAPK Signaling	-1.342	
Chaperone Mediated Autophagy Signaling Pathway	-1.342	
Transcriptional regulation of granulopoiesis	-1.342	
Signaling by Rho Family GTPases	-1.342	
Eicosanoid Signaling	-1.342	
IL-13 Signaling Pathway	-1.342	
PI3K/AKT Signaling	-1.342	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	-1.342	
Role of JAK2 in Hormone-like Cytokine Signaling	-1.342	
IL-7 Signaling Pathway	-1.342	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	-1.155	
CREB Signaling in Neurons	-1.134	
Osteoarthritis Pathway	-1.134	
T Cell Receptor Signaling	-1.134	
Erythropoietin Signaling Pathway	-1.134	
CGRP in Inflammation and Nociception Signaling Pathway	-1	
BEX2 Signaling Pathway	-1	
Epithelial Membrane Protein Signaling Pathway	-1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	-1	
Complement System	-1	
NAD Signaling Pathway	-1	
Endothelin-1 Signaling	-1	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	-1	
Signaling by VEGF	-1	
IL-6 Signaling	-1	
Pancreatic Adenocarcinoma Signaling	-1	
Acute Myeloid Leukemia Signaling	-1	
Apelin Endothelial Signaling Pathway	-1	
Prolactin Signaling	-1	
VEGF Signaling	-1	
ID1 Signaling Pathway	-1	
IL-23 Signaling Pathway	-1	
Growth Hormone Signaling	-1	
Hepatic Fibrosis Signaling Pathway	-0.905	
HER-2 Signaling in Breast Cancer	-0.816	
IL-17 Signaling	-0.816	
Response to elevated platelet cytosolic Ca2+	-0.816	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	-0.816	
IL-4 Signaling	-0.816	
Adrenomedullin signaling pathway	-0.816	
Docosahexaenoic Acid (DHA) Signaling	-0.816	
Serotonin Receptor Signaling	-0.707	
Sheddase Signaling Pathway	-0.707	
JAK/STAT Signaling	-0.707	
Acute Phase Response Signaling	-0.707	
NOD1/2 Signaling Pathway	-0.707	
Phagosome Formation	-0.632	
Interleukin-4 and Interleukin-13 signaling	-0.577	
BBSome Signaling Pathway	-0.447	
Thioredoxin Signaling Pathway	-0.447	
Preeclampsia Signaling Pathway	-0.447	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	-0.378	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0.378	
Dendritic Cell Maturation	-0.333	
Tumor Microenvironment Pathway	-0.302	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0.302	
Cyclophilin Signaling Pathway	-0.302	
Autism Signaling Pathway	0	
Breast Cancer Regulation by Stathmin1	0	
TCF dependent signaling in response to WNT	0	
Hematoma Resolution Signaling Pathway	0	
NLR signaling pathways	0	
Beta-catenin independent WNT signaling	0	
Hedgehog 'off' state	0	
HIF1α Signaling	0	
Insulin Secretion Signaling Pathway	0	
KEAP1-NFE2L2 pathway	0	
Neuroinflammation Signaling Pathway	0	
Degradation of beta-catenin by the destruction complex	0	
Glycation Signaling Pathway	0	
TP53 Regulates Transcription of Cell Death Genes	0	
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells"	0	
Intrinsic Pathway for Apoptosis	0	
IL-10 Signaling	0	
Mitotic G1 phase and G1/S transition	0	
Natural Killer Cell Signaling	0	
S100 Family Signaling Pathway	0	
IL-15 Production	0	
Interleukin-6 family signaling	0	
Neutrophil Extracellular Trap Signaling Pathway	0	
NAFLD Signaling Pathway	0	
Transcriptional regulation by RUNX3	0	
Signaling by CSF1 (M-CSF) in myeloid cells	0	
S Phase	0	
Neutrophil degranulation	0.258	
Tuberculosis Active Signaling Pathway	0.258	
G alpha (i) signalling events	0.277	
IL-12 Signaling and Production in Macrophages	0.302	
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	0.302	
Lung Ionic Balance Signaling Pathway	0.333	
Th1 Pathway	0.333	
TEC Kinase Signaling	0.333	
NF1 RAS Signaling Pathway	0.333	
Wound Healing Signaling Pathway	0.378	
Signaling by the B Cell Receptor (BCR)	0.378	
RAR Activation	0.378	
Complement cascade	0.378	
Multiple Sclerosis Signaling Pathway	0.378	
Communication between Innate and Adaptive Immune Cells	0.447	
MSP-RON Signaling in Macrophages Pathway	0.447	
TCR signaling	0.447	
Type I Diabetes Mellitus Signaling	0.447	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	0.447	
TNFR2 non-canonical NF-kB pathway	0.447	
RAF/MAP kinase cascade	0.447	
PPAR Signaling	0.447	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	0.447	
Irritable Bowel Syndrome Signaling Pathway	0.447	
Transcriptional regulation by RUNX1	0.447	
PTEN Regulation	0.447	
Class A/1 (Rhodopsin-like receptors)	0.577	
TRIM21 Intracellular Antibody Signaling Pathway	0.632	
Zn Homeostasis Signaling Pathway	0.632	
CDX Gastrointestinal Cancer Signaling Pathway	0.707	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0.816	
Hepatic Cholestasis	0.816	
FXR/RXR Activation	0.816	
Signaling by CSF3 (G-CSF)	1	
White Adipose Tissue Browning Pathway	1	
Cellular response to hypoxia	1	
Regulation of RUNX2 expression and activity	1	
"PD-1, PD-L1 cancer immunotherapy pathway"	1	
IL-17A Signaling in Fibroblasts	1	
RHO GTPases Activate NADPH Oxidases	1	
Macrophage Alternative Activation Signaling Pathway	1	
Endocannabinoid Cancer Inhibition Pathway	1	
Cellular Effects of Sildenafil (Viagra)	1	
Th2 Pathway	1	
Cytosolic sensors of pathogen-associated DNA	1	
Senescence Pathway	1	
Protein Ubiquitination Pathway	1	
Interleukin-10 signaling	1	
Crosstalk between Dendritic Cells and Natural Killer Cells	1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1	
Immunogenic Cell Death Signaling Pathway	1	
CGAS-STING Signaling Pathway	1.134	
CTLA4 Signaling in Cytotoxic T Lymphocytes	1.134	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	1.134	
Fc epsilon receptor (FCERI) signaling	1.134	
p53 Signaling	1.342	
C-type lectin receptors (CLRs)	1.342	
Neddylation	1.342	
IL-27 Signaling Pathway	1.414	
Macrophage Classical Activation Signaling Pathway	1.508	
Class I MHC mediated antigen processing and presentation	1.508	
Interleukin-1 family signaling	1.633	
Deubiquitination	1.89	
Modulation of host responses by IFN-stimulated genes	2	
Ribotoxic Stress Signaling Pathway	2	
Role of RIG1-like Receptors in Antiviral Innate Immunity	2	
PTEN Signaling	2	
ER-Mitochondrial Communication Signaling Pathway	2	
Interferon Signaling	2.121	
Necroptosis Signaling Pathway	2.449	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.449	
T Cell Exhaustion Signaling Pathway	2.53	
