"Gene","lfc","padj","Stage","Significant","Regulation"
"IP-10",1.72386662613691,0.00127408357410086,"Early",TRUE,"Up"
"PSGL-1",0.219082627396945,0.56553109911878,"Early",FALSE,"None"
"Fibrinogen",0.303362032666673,0.732363760088868,"Early",FALSE,"None"
"MCP-1",0.553017821932469,0.979632530190255,"Early",FALSE,"None"
"ITAC",0.781571244791599,0.999999999999987,"Early",FALSE,"None"
"Antithrombin",0.156011496405949,0.999999999999987,"Early",FALSE,"None"
"MIP-1β",0.546130276717013,0.999999999999987,"Early",FALSE,"None"
"CXCL8",0.229345752995894,0.999999999999987,"Early",FALSE,"None"
"Cystatin C",0.200526014844673,0.999999999999987,"Early",FALSE,"None"
"D-dimer",0.421693687133885,0.999999999999987,"Early",FALSE,"None"
"IL-10",-0.222559263691067,0.999999999999987,"Early",FALSE,"None"
"Eotaxin",0.372669719755819,0.999999999999987,"Early",FALSE,"None"
"GM-CSF",-0.20613320537938,0.999999999999987,"Early",FALSE,"None"
"IL-23",-0.170374560372589,0.999999999999987,"Early",FALSE,"None"
"Factor IX",0.292854559318908,0.999999999999987,"Early",FALSE,"None"
"4-1BB",-0.286865776261882,0.999999999999987,"Early",FALSE,"None"
"Myoglobin",-0.261466340974206,0.999999999999987,"Early",FALSE,"None"
"TNF-α",-0.147571171751574,0.999999999999987,"Early",FALSE,"None"
"CRP",-0.220000526221824,0.999999999999987,"Early",FALSE,"None"
"MRP8/14",-0.197387674244794,0.999999999999987,"Early",FALSE,"None"
"IL-8",0.21117669149397,0.999999999999987,"Early",FALSE,"None"
"IGFBP4",0.0775920858457475,0.999999999999987,"Early",FALSE,"None"
"P-selectin",0.188553030295628,0.999999999999987,"Early",FALSE,"None"
"TGF-β1",-0.291447280957588,0.999999999999987,"Early",FALSE,"None"
"IL-1β",0.178723866104904,0.999999999999987,"Early",FALSE,"None"
"TF",0.20123899119408,0.999999999999987,"Early",FALSE,"None"
"IL-17A",-0.060959467049436,0.999999999999987,"Early",FALSE,"None"
"Prothrombin",-0.0236151652316785,0.999999999999987,"Early",FALSE,"None"
"TIM-3",-0.226260740601679,0.999999999999987,"Early",FALSE,"None"
"tPA",0.160121731473556,0.999999999999987,"Early",FALSE,"None"
"PD-1",-0.345535814470641,0.999999999999987,"Early",FALSE,"None"
"PD-L1",-0.231754428302984,0.999999999999987,"Early",FALSE,"None"
"sCD25",-0.169617392271834,0.999999999999987,"Early",FALSE,"None"
"sCD40L",0.19662002028152,0.999999999999987,"Early",FALSE,"None"
"LAG-3",-0.181367326861896,0.999999999999987,"Early",FALSE,"None"
"Factor XIII",0.0643271208076186,0.999999999999987,"Early",FALSE,"None"
"IFN-y",0.174805106814445,0.999999999999987,"Early",FALSE,"None"
"CTLA-4",-0.194338075781048,0.999999999999987,"Early",FALSE,"None"
"MMP9",-0.0296832994162735,0.999999999999987,"Early",FALSE,"None"
"B7-2",0.0512411445174177,0.999999999999987,"Early",FALSE,"None"
"OPN",0.0631338939481587,0.999999999999987,"Early",FALSE,"None"
"IL-6",-0.0393458704938925,0.999999999999987,"Early",FALSE,"None"
"PAI-1",0.0472813354114869,0.999999999999987,"Early",FALSE,"None"
"SAA",-0.0330134187092916,0.999999999999987,"Early",FALSE,"None"
"MIG",-0.065784211278916,0.999999999999987,"Early",FALSE,"None"
"RANTES",-0.0501730999504311,0.999999999999987,"Early",FALSE,"None"
"NGAL",-0.0139991582166381,0.999999999999987,"Early",FALSE,"None"
"Galectin-9",0.022477727158229,0.999999999999987,"Early",FALSE,"None"
"IL-12p40",-0.0178551654447991,0.999999999999987,"Early",FALSE,"None"
"Plasminogen",-0.00536376044092535,0.999999999999987,"Early",FALSE,"None"
"MMP2",0.00497413436073302,0.999999999999987,"Early",FALSE,"None"
"IFN-β",-0.0125104258757944,0.999999999999987,"Early",FALSE,"None"
"MPO",0.00370544989106847,0.999999999999987,"Early",FALSE,"None"
"VCAM-1",0.000579145568323725,0.999999999999987,"Early",FALSE,"None"
"ICAM-1",5.32907051820075e-15,0.999999999999987,"Early",FALSE,"None"
"MIP-1α",-5.32907051820075e-15,0.999999999999987,"Early",FALSE,"None"
"VCAM-1",-2.20814214039579,1.40414100755208e-32,"Middle",TRUE,"Down"
"PSGL-1",1.03860168877273,3.89673312473306e-14,"Middle",TRUE,"Up"
"IP-10",3.86577188110781,3.2959892948825e-12,"Middle",TRUE,"Up"
"IFN-y",3.58855196993358,8.11363631300984e-08,"Middle",TRUE,"Up"
"MMP2",-1.14381030648662,8.11363631300984e-08,"Middle",TRUE,"Down"
"ITAC",3.37822697722286,2.39705556848814e-07,"Middle",TRUE,"Up"
"Cystatin C",1.08595554819921,3.26138622645208e-06,"Middle",TRUE,"Up"
"B7-2",1.15570659565893,5.94993278818522e-05,"Middle",TRUE,"Up"
"MMP9",0.518311564249732,0.000118352235642082,"Middle",FALSE,"None"
"MCP-1",1.56452046462764,0.000118352235642082,"Middle",TRUE,"Up"
"MIP-1β",1.79104542301432,0.000189514826046522,"Middle",TRUE,"Up"
"Prothrombin",-0.240666841195569,0.000189514826046522,"Middle",FALSE,"None"
"CXCL8",0.776930586108078,0.00050600355834888,"Middle",FALSE,"None"
"NGAL",0.663588044020067,0.00174515955805321,"Middle",FALSE,"None"
"MPO",-0.821249665064176,0.00323678364843066,"Middle",FALSE,"None"
"OPN",1.08878860810427,0.00394446558415988,"Middle",TRUE,"Up"
"Eotaxin",1.32564530083696,0.0072161015982601,"Middle",TRUE,"Up"
"CRP",1.22418781641451,0.0115597530044626,"Middle",TRUE,"Up"
"MRP8/14",-1.11841606630406,0.0178646370856322,"Middle",TRUE,"Down"
"TNF-α",-0.681096543579129,0.0253165085074846,"Middle",FALSE,"None"
"Fibrinogen",0.438830294381557,0.0274700514718309,"Middle",FALSE,"None"
"Galectin-9",0.846739378305523,0.0409041869435956,"Middle",FALSE,"None"
"D-dimer",0.898562641272548,0.0848979216928817,"Middle",FALSE,"None"
"PAI-1",0.737638254424954,0.0848979216928817,"Middle",FALSE,"None"
"MIP-1α",-0.776565810637639,0.0923211708968525,"Middle",FALSE,"None"
"TF",0.824340148614738,0.145649194691826,"Middle",FALSE,"None"
"tPA",0.671652239514614,0.183535443493335,"Middle",FALSE,"None"
"Factor XIII",0.346869790620648,0.183535443493335,"Middle",FALSE,"None"
"SAA",-0.568898047923209,0.183535443493335,"Middle",FALSE,"None"
"P-selectin",0.660399057423547,0.183535443493335,"Middle",FALSE,"None"
"RANTES",0.999667590994576,0.183535443493335,"Middle",FALSE,"None"
"sCD40L",0.860997202823253,0.183535443493335,"Middle",FALSE,"None"
"MIG",1.02537791981393,0.243543397073752,"Middle",FALSE,"None"
"Factor IX",0.610327034002612,0.285905460666035,"Middle",FALSE,"None"
"IL-10",0.284163983585966,0.356763724078092,"Middle",FALSE,"None"
"IL-23",0.242240066453356,0.502774138075376,"Middle",FALSE,"None"
"TGF-β1",0.582580902236004,0.534003773877862,"Middle",FALSE,"None"
"4-1BB",-0.399494812408009,0.564675533239412,"Middle",FALSE,"None"
"ICAM-1",-0.0577589120216313,0.592353239221673,"Middle",FALSE,"None"
"sCD25",-0.320718454584601,0.661277939851434,"Middle",FALSE,"None"
"Myoglobin",0.286654641483285,0.695725180751441,"Middle",FALSE,"None"
"IFN-β",0.294215047126719,0.695725180751441,"Middle",FALSE,"None"
"IL-8",0.272746684252704,0.695725180751441,"Middle",FALSE,"None"
"Plasminogen",-0.071365448876076,0.824037534262926,"Middle",FALSE,"None"
"IGFBP4",0.0680424854530912,0.838399206545182,"Middle",FALSE,"None"
"IL-12p40",-0.0917493831342213,0.868087237751466,"Middle",FALSE,"None"
"IL-17A",0.046821943409119,0.868087237751466,"Middle",FALSE,"None"
"CTLA-4",-0.210527798567762,0.868087237751466,"Middle",FALSE,"None"
"PD-1",-0.254566502766217,0.873425804658229,"Middle",FALSE,"None"
"GM-CSF",0.0485700977260981,0.95442173778778,"Middle",FALSE,"None"
"IL-6",-0.0327651626985173,0.990612635079751,"Middle",FALSE,"None"
"LAG-3",-0.0459780101799332,0.990970014625945,"Middle",FALSE,"None"
"IL-1β",0.022213627148993,0.990970014625945,"Middle",FALSE,"None"
"TIM-3",0.020908189691089,0.990970014625945,"Middle",FALSE,"None"
"PD-L1",0.016194152778982,0.990970014625945,"Middle",FALSE,"None"
"Antithrombin",0.00133087375443708,0.990970014625945,"Middle",FALSE,"None"
"VCAM-1",-2.06010179481184,5.12058431028314e-36,"Late",TRUE,"Down"
"ITAC",7.16445128809403,2.01331523588635e-25,"Late",TRUE,"Up"
"D-dimer",5.13569508237472,8.37130810532968e-24,"Late",TRUE,"Up"
"PSGL-1",1.26744156625494,2.99950429630256e-23,"Late",TRUE,"Up"
"IP-10",5.05346293360611,3.12680551377805e-22,"Late",TRUE,"Up"
"MCP-1",3.51354481391977,2.36104134928209e-19,"Late",TRUE,"Up"
"MIP-1β",4.02485371664372,1.58808907243364e-18,"Late",TRUE,"Up"
"Galectin-9",3.27597460761026,4.35796072344045e-18,"Late",TRUE,"Up"
"MIG",6.59292040826263,4.35796072344045e-18,"Late",TRUE,"Up"
"B7-2",2.19042890269606,7.3696626213965e-17,"Late",TRUE,"Up"
"Eotaxin",3.56693457212522,9.52893470141534e-16,"Late",TRUE,"Up"
"IFN-y",4.11422817831242,5.47981049916426e-13,"Late",TRUE,"Up"
"PAI-1",2.5253706788709,7.84389356090644e-13,"Late",TRUE,"Up"
"MMP2",-1.27063784560546,1.76960158005003e-12,"Late",TRUE,"Down"
"tPA",2.7737520903082,1.76960158005003e-12,"Late",TRUE,"Up"
"CXCL8",1.33070729387177,5.14771621452041e-12,"Late",TRUE,"Up"
"CRP",2.58899858011316,1.40288775004044e-10,"Late",TRUE,"Up"
"Cystatin C",1.09819410260398,8.88899136821795e-09,"Late",TRUE,"Up"
"MMP9",0.55336498259479,3.61319365272204e-07,"Late",FALSE,"None"
"Plasminogen",-0.682327002495352,2.94603661723064e-06,"Late",FALSE,"None"
"Prothrombin",-0.244287036992979,2.94603661723064e-06,"Late",FALSE,"None"
"IGFBP4",0.697516886737194,3.6961726527788e-06,"Late",FALSE,"None"
"TF",1.78734014293238,1.63863851555477e-05,"Late",TRUE,"Up"
"IL-23",0.919579485415919,4.7947472864582e-05,"Late",FALSE,"None"
"P-selectin",1.47606736807594,6.01478373279476e-05,"Late",TRUE,"Up"
"sCD40L",1.93064496860063,6.80223890646897e-05,"Late",TRUE,"Up"
"OPN",1.1860290244541,6.80223890646897e-05,"Late",TRUE,"Up"
"RANTES",2.17311216968045,9.57675707673295e-05,"Late",TRUE,"Up"
"MPO",-0.789008263826258,0.000298482433675107,"Late",FALSE,"None"
"NGAL",0.596537258859996,0.000323569703990602,"Late",FALSE,"None"
"Factor IX",1.1720522224961,0.00409480696757857,"Late",TRUE,"Up"
"PD-L1",1.41043152394995,0.0116987524946273,"Late",TRUE,"Up"
"IFN-β",1.04950122900699,0.01320121544462,"Late",TRUE,"Up"
"Antithrombin",-0.266163939712936,0.0133380154836484,"Late",FALSE,"None"
"IL-17A",0.294972204316283,0.0219563074101078,"Late",FALSE,"None"
"TNF-α",-0.535239064111879,0.0219563074101078,"Late",FALSE,"None"
"GM-CSF",0.509232061435623,0.0326769962210521,"Late",FALSE,"None"
"IL-10",0.44762446092236,0.0344238567135968,"Late",FALSE,"None"
"Fibrinogen",0.289944058249546,0.0597177527513954,"Late",FALSE,"None"
"IL-6",0.456158540004989,0.0608509350889883,"Late",FALSE,"None"
"MRP8/14",0.671491132578751,0.0640460545111071,"Late",FALSE,"None"
"sCD25",-0.743261325455849,0.065265525695503,"Late",FALSE,"None"
"TIM-3",-0.852425377506193,0.0797037788445635,"Late",FALSE,"None"
"SAA",-0.435763654367825,0.165461038771042,"Late",FALSE,"None"
"4-1BB",-0.561442151964772,0.175972837040497,"Late",FALSE,"None"
"CTLA-4",-0.787807091708357,0.175972837040497,"Late",FALSE,"None"
"IL-1β",0.475001879761342,0.175972837040497,"Late",FALSE,"None"
"LAG-3",0.628662039291832,0.176266087729127,"Late",FALSE,"None"
"Factor XIII",-0.245942040360049,0.178183091416486,"Late",FALSE,"None"
"PD-1",-0.939255687890922,0.211251501419333,"Late",FALSE,"None"
"Myoglobin",0.470942408370966,0.227495089147887,"Late",FALSE,"None"
"TGF-β1",-0.446232741162573,0.425830530343939,"Late",FALSE,"None"
"IL-12p40",0.147736795635213,0.551427237661435,"Late",FALSE,"None"
"IL-8",0.203258175351202,0.601715509011438,"Late",FALSE,"None"
"ICAM-1",-0.0281429370943069,0.644730284458723,"Late",FALSE,"None"
"MIP-1α",-0.132337423538092,0.674471081155753,"Late",FALSE,"None"
